x,y,w,theta_x,theta_y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.125683522501415174e-11,-7.125683522501397079e-11
3.125000000000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.435562687027297746e-10,-2.217636058958584190e-11
6.250000000000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,-9.920529143388431809e-10,-4.494133050298571912e-11
9.375000000000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.004063507549352311e-09,-3.190045399291056913e-11
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.809086475172529837e-09,-3.296832415438900154e-11
1.562500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.293442446802344567e-08,-2.616665632246778992e-11
1.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.187634080077711924e-08,-2.239235172597513869e-11
2.187500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.405359656092870166e-08,-1.707875607853016207e-11
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.981326768862870021e-08,-1.099870815733093163e-11
2.812500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.942006830828394501e-08,-4.471143980360870856e-12
3.125000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.304420348527837505e-08,2.465153474828726599e-12
3.437500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.207533070218217902e-07,9.767589369328021759e-12
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.525060401843351899e-07,1.717075370277781409e-11
4.062500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.881461891119996132e-07,2.483011026274735776e-11
4.375000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.274004776464855832e-07,3.246007808211579300e-11
4.687500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.698758970396258665e-07,3.998333514619271542e-11
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.150590093746942045e-07,4.683240901212344602e-11
5.312500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.623175308161355325e-07,5.386949340197514782e-11
5.625000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.109078762771656870e-07,6.067356235080217653e-11
5.937500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.599814810660222932e-07,6.431975568487796398e-11
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.085806414642627432e-07,7.202343372713364567e-11
6.562500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.556582374145433750e-07,8.385005089564206383e-11
6.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.001052755109901526e-07,6.468958059358259896e-11
7.187500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.406470790385377240e-07,8.797603415116243703e-11
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.759406392241158039e-07,1.943999553264685700e-10
7.812500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.048897664342544748e-07,-7.720594392686593320e-11
8.125000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.253268462458871441e-07,5.263409101127034363e-12
8.437500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.347482937097277286e-07,1.356432388056915038e-09
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.352224311142311999e-07,-1.590475335854137885e-09
9.062500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.215134109946667023e-07,-3.458393002195419455e-09
9.375000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.513448876172816136e-07,3.826042590099043455e-08
9.687500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.761402498958340836e-07,-9.189461655598808554e-08
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.982594414447326508e-07,1.982594414448209011e-07
2.706329386826370961e-02,1.562499999999999827e-02,0.000000000000000000e+00,-2.217636058960020447e-11,-1.435562687027443537e-10
5.831329386826371308e-02,1.562499999999999827e-02,-1.099583176206163978e-09,-1.034207198629671944e-09,-1.034207198629671324e-09
8.956329386826371308e-02,1.562499999999999827e-02,-4.508822827255274252e-09,-3.709309458048271437e-09,-2.445904622725869800e-09
1.208132938682637131e-01,1.562499999999999827e-02,-1.132337919983831430e-08,-8.593717193186364311e-09,-4.440845000535813771e-09
1.520632938682636992e-01,1.562499999999999827e-02,-2.266267550694335072e-08,-1.620110873295702349e-08,-6.958709799898528711e-09
1.833132938682636992e-01,1.562499999999999827e-02,-3.951181862081001972e-08,-2.697454621345436988e-08,-9.943903706545106612e-09
