ElemID,PointID,x,y,sigma_x,sigma_y,tau_xy,VonMises
0.000000000000000000e+00,0.000000000000000000e+00,2.915664693413185654e-02,7.812499999999999133e-03,-3.446844616947244617e+02,1.867240306123560231e+03,-6.385276800601986906e+02,2.339263827217071139e+03
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.227566747466138963e+02,-9.518073691208860510e+02,3.968024603728891861e+02,1.399785687167303649e+03
0.000000000000000000e+00,2.000000000000000000e+00,3.125000000000000000e-02,0.000000000000000000e+00,-2.732439841552692315e+02,7.465653201109553265e+02,-1.105957528100386980e+03,2.122602811751281024e+03
0.000000000000000000e+00,3.000000000000000000e+00,5.831329386826371308e-02,1.562499999999999827e-02,-1.001665192161871801e+03,4.726490872177803794e+03,-1.653576222856416962e+03,6.023317481595036952e+03
0.000000000000000000e+00,4.000000000000000000e+00,2.706329386826370961e-02,1.562499999999999827e-02,-9.760789729391815399e+02,1.449400308890330734e+03,1.113883818074257590e+02,2.122602811764327726e+03
1.000000000000000000e+00,0.000000000000000000e+00,6.040664693413186348e-02,7.812499999999999133e-03,-1.083983086998746188e+02,4.779785524453175640e+03,-3.486794052491091861e+03,7.736240612426796361e+03
1.000000000000000000e+00,1.000000000000000000e+00,3.125000000000000000e-02,0.000000000000000000e+00,-2.929428225137152140e+02,-2.256595599991539530e+03,-1.027459440961034488e+03,2.772003683852135509e+03
1.000000000000000000e+00,2.000000000000000000e+00,6.250000000000000000e-02,0.000000000000000000e+00,5.139694787102121154e+02,3.319709729278244140e+03,-4.468690638878522805e+03,8.335826048490067478e+03
1.000000000000000000e+00,3.000000000000000000e+00,8.956329386826371308e-02,1.562499999999999827e-02,-7.710327809244510888e+01,1.138607135922723683e+04,-6.499992889207251210e+03,1.603983142113821486e+04
1.000000000000000000e+00,4.000000000000000000e+00,5.831329386826371308e-02,1.562499999999999827e-02,1.162852566421112897e+03,1.247118720704762745e+04,-3.123302957452039209e+03,1.310136055860279885e+04
2.000000000000000000e+00,0.000000000000000000e+00,9.165664693413186348e-02,7.812499999999999133e-03,4.131196917349804494e+02,8.480193451792336418e+03,-8.369314363886800493e+03,1.669482802305999212e+04
2.000000000000000000e+00,1.000000000000000000e+00,6.250000000000000000e-02,0.000000000000000000e+00,-3.424191928662526863e+01,-1.860022467576492318e+03,-4.024987187734119289e+03,7.211014556495581019e+03
2.000000000000000000e+00,2.000000000000000000e+00,9.375000000000000000e-02,0.000000000000000000e+00,3.092095497475090156e+02,2.589627230191260878e+03,-9.347060547072507688e+03,1.637387140779663059e+04
2.000000000000000000e+00,3.000000000000000000e+00,1.208132938682637131e-01,1.562499999999999827e-02,7.955468500946939230e+02,1.850399912442173081e+04,-1.313676541967136654e+04,2.908666184429088753e+04
2.000000000000000000e+00,4.000000000000000000e+00,8.956329386826371308e-02,1.562499999999999827e-02,1.719680080534254103e+03,1.847955590063260024e+04,-7.734781574418534547e+03,2.218451937041791462e+04
3.000000000000000000e+00,0.000000000000000000e+00,1.229066469341318496e-01,7.812499999999999133e-03,8.661930213639535623e+02,1.191516475885051295e+04,-1.509180935955062705e+04,2.856026502421422992e+04
3.000000000000000000e+00,1.000000000000000000e+00,9.375000000000000000e-02,0.000000000000000000e+00,-1.506401362426315700e+02,-1.889417499503769932e+03,-8.971894206294908145e+03,1.564585011354059498e+04
3.000000000000000000e+00,2.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,3.029367600862588006e+02,2.412381898899469888e+03,-1.618310799567535469e+04,2.812222450570510409e+04
3.000000000000000000e+00,3.000000000000000000e+00,1.520632938682636992e-01,1.562499999999999827e-02,1.827823863131750841e+03,2.543659973299645571e+04,-2.159131889225855048e+04,4.474844216935390432e+04
3.000000000000000000e+00,4.000000000000000000e+00,1.208132938682637131e-01,1.562499999999999827e-02,2.494094458240228960e+03,2.506590443554253943e+04,-1.430085213525658219e+04,3.443176519405196450e+04
4.000000000000000000e+00,0.000000000000000000e+00,1.541566469341318357e-01,7.812499999999999133e-03,1.414390884631673771e+03,1.538919406603481730e+04,-2.356804636549909264e+04,4.339838577904399426e+04
